CRN,SUBJ,CRSE,SECTION,TITLE,HOURS,ENRL,MAX_ENRL,START_TIME,END_TIME,DAYS,BLDG,ROOM,INSTRUCTOR,MEETING_TYPE,MEETING_CATEGORY
80661,CSE,310D,  A,Preparing for Tech Interviews,1,5,0,1600,1655,R,BEN,213,"Karro, John",CLAS,01
71332,CSE,262,  A,"Tech,Ethics & Global Society",3,23,16,1000,1120,MW,BEN,207,"Kiper, James",CLAS,01
80143,CSE,283,H A,Data Communications & Network,3,13,22,1300,1450,MW,MOS,320,"Werner, Laurena",CLAS,01
75166,CSE,456,  A,Bioinformatics Principles,3,4,4,1300,1420,TR,BEN,002,"Liang, Chun",CLAS,01
71331,CSE,252,  A,Web Application Programming,3,27,25,1600,1720,TR,BEN,006,"Beck, Michael",CLAS,01
75167,CSE,556,  A,Bioinformatics Principles,3,1,2,1300,1420,TR,BEN,002,"Liang, Chun",CLAS,01
79604,CSE,631,  A,Ontologies for Semantic Web,3,4,16,1300,1420,TR,BEN,207,"Cross, Valerie",CLAS,01
71711,CSE,151,H C,"Computers, Comp Sci & Society",3,14,24,1600,1850,R,MOS,300,"Donohue, Catherine",CLAS,01
71325,CSE,174,  A,Fundmntls-Progrming&Prob Solvg,3,28,20,1000,1150,F,BEN,006,"Krumpe, Norman",CLAS,02
71325,CSE,174,  A,Fundmntls-Progrming&Prob Solvg,3,28,20,1130,1225,MW,KRG,319,"Krumpe, Norman",CLAS,01
72938,CSE,211,  A,Software Construction,3,34,34,1000,1120,TR,BEN,213,"Alomari, Hakam",CLAS,01
72427,CSE,220,H A,Professional Practice,0,0,0,,,,,,"Cassady, Shelley",CLAS,01
77863,CSE,243,  B,Problem Analysis and Computers,3,16,22,1000,1120,TR,BEN,001,"Foster, Drew",CLAS,01
77868,CSE,271,  F,Object-Oriented Programming,3,31,36,1800,1950,TR,BEN,010,"Stahr, Michael",CLAS,01
71378,CSE,148, BB,Business Computing,3,30,28,1000,1120,TR,BEN,024,"Cruez, Rebecca",CLAS,01
71380,CSE,148, DD,Business Computing,3,30,28,1300,1420,TR,BEN,024,"Cruez, Rebecca",CLAS,01
71328,CSE,174,  C,Fundmntls-Progrming&Prob Solvg,3,28,20,1130,1225,MW,KRG,319,"Krumpe, Norman",CLAS,01
71328,CSE,174,  C,Fundmntls-Progrming&Prob Solvg,3,28,20,1400,1550,F,BEN,006,"Krumpe, Norman",CLAS,02
79723,CSE,256,  A,Programming in Life Sciences,3,1,0,1000,1120,WF,BEN,009,"Karro, John",CLAS,01
74685,CSE,262,  B,"Tech,Ethics & Global Society",3,20,16,1130,1250,TR,BEN,204,"Cross, Valerie",CLAS,01
71334,CSE,271,  A,Object-Oriented Programming,3,27,28,1200,1350,WF,BEN,002,"Stahr, Michael",CLAS,01
71426,CSE,448,  A,Senior Design Project,2,12,20,1800,1855,M,,,"Kiper, James",CLAS,01
71353,CSE,543,  A,High Performance Computing,3,8,8,1430,1550,WF,BEN,002,"Rao, Dhananjai",CLAS,01
79602,CSE,574,  A,Compiler Design,3,9,0,1300,1420,WF,BEN,206,"Karro, John",CLAS,01
72966,CSE,148, MM,Business Computing,3,30,28,1430,1550,TR,BEN,001,"Shukla, Juhi",CLAS,01
77866,CSE,174,  F,Fundmntls-Progrming&Prob Solvg,3,30,20,1300,1355,MW,KRG,319,"Krumpe, Norman",CLAS,01
77866,CSE,174,  F,Fundmntls-Progrming&Prob Solvg,3,30,20,1400,1550,F,BEN,001,"Krumpe, Norman",CLAS,02
79601,CSE,474,  A,Compiler Design,3,24,16,1300,1420,WF,BEN,206,"Karro, John",CLAS,01
71354,CSE,564,  A,Algorithms,3,6,6,1130,1250,MW,BEN,207,"Gelfond, Gregory",CLAS,01
71373,CSE,148,  M,Business Computing,3,30,28,1430,1550,MW,BEN,001,"Ledford, Carolyn",CLAS,01
77135,CSE,148, GG,Business Computing,3,30,28,1800,1920,TR,BEN,024,"Parece, Julianne",CLAS,01
