CRN,SUBJ,CRSE,SECTION,TITLE,HOURS,ENRL,MAX_ENRL,START_TIME,END_TIME,DAYS,BLDG,ROOM,INSTRUCTOR
67721,CSE,174,  C,Fundmntls-Progrming&Prob Solvg,3,33,34,1000,1055,MW,BEN,102,"Kiper, James"
63270,CSE,174H,  A,Fundmntls-Progrming&Prob Solvg,3,21,24,1000,1150,TR,BEN,6,"Krumpe, Norman"
59414,CSE,201,  A,Intro to Software Engineering,3,29,28,1130,1250,TR,BEN,213,"Sobel, Ann"
62073,CSE,201,  B,Intro to Software Engineering,3,49,50,1430,1550,TR,KRG,221,"Stephan, Matthew"
66481,CSE,201,H A,Intro to Software Engineering,3,6,9,1600,1720,MW,MOS,300,"Courte, Jill"
67885,CSE,212,  A,Software Engineering for HCI,3,26,28,830,950,TR,BEN,206,"Gannod, Gerald"
59532,CSE,220,H A,Professional Practice,0,0,0,,,,,,"Cassady, Shelley"
65789,CSE,243,  B,Problem Analysis and Computers,3,14,20,1000,1120,TR,BEN,1,"Foster, Drew"
68388,CSE,251,  A,Intro to Game Programming,3,23,24,1800,2040,M,BEN,10,"Bernard, Christopher"
59416,CSE,262,  A,"Tech,Ethics & Global Society",3,27,24,1300,1420,TR,BEN,213,"Cross, Valerie"
59417,CSE,262,  B,"Tech,Ethics & Global Society",3,24,24,1600,1720,TR,BEN,206,"Cross, Valerie"
59533,CSE,262,H A,"Tech,Ethics & Global Society",3,7,8,1430,1550,M,MOS,320,"Woods, David"
63110,CSE,262,H B,"Tech,Ethics & Global Society",3,11,11,1300,1420,T,MOS,320,"Woods, David"
63138,CSE,262,M A,"Tech,Ethics & Global Society",3,6,10,1000,1120,T,JHN,15,"Luczaj, Jerome"
64045,CSE,262,M B,"Tech,Ethics & Global Society",3,5,9,1430,1550,M,JHN,13,"Evans, Donna"
65864,CSE,262,H C,"Tech,Ethics & Global Society",3,10,14,1730,1850,T,MOS,300,"Woods, David"
59418,CSE,271,  A,Object-Oriented Programming,3,22,24,1400,1550,MW,BEN,2,"Stahr, Michael"
59419,CSE,271,  B,Object-Oriented Programming,3,25,24,1600,1750,MW,BEN,2,"Stahr, Michael"
62584,CSE,271,H A,Object-Oriented Programming,3,22,24,1300,1450,MW,MOS,319,"Courte, Jill"
65774,CSE,271,  C,Object-Oriented Programming,3,23,24,1800,1950,MW,BEN,2,"Stahr, Michael"
67722,CSE,271,  D,Object-Oriented Programming,3,16,24,800,950,F,BEN,6,"Gelfond, Gregory"
67722,CSE,271,  D,Object-Oriented Programming,3,16,24,830,925,TR,BEN,9,"Gelfond, Gregory"
59421,CSE,274,  B,Data Abstractions & Structures,3,22,27,1300,1420,W,BEN,204,"Alomari, Hakam"
59421,CSE,274,  B,Data Abstractions & Structures,3,22,27,1300,1420,F,BEN,2,"Alomari, Hakam"
64237,CSE,274,  C,Data Abstractions & Structures,3,19,27,1430,1550,W,BEN,204,"Alomari, Hakam"
64237,CSE,274,  C,Data Abstractions & Structures,3,19,27,1430,1550,F,BEN,2,"Alomari, Hakam"
67723,CSE,274,  A,Data Abstractions & Structures,3,28,30,1130,1250,WF,BEN,206,"Karro, John"
59422,CSE,278,  A,Computer Architecture,3,25,20,1600,1750,MW,BEN,6,"Yue, Jianhui"
67724,CSE,278,  B,Computer Architecture,3,26,20,1800,1950,MW,BEN,6,"Yue, Jianhui"
59425,CSE,283,  B,Data Communications & Network,3,28,20,1800,1950,TR,BEN,6,"Yue, Jianhui"
65776,CSE,283,  A,Data Communications & Network,3,25,20,1600,1750,TR,BEN,6,"Yue, Jianhui"
68495,CSE,287,  A,Foundations of Graphics,3,28,26,1000,1120,W,BEN,206,"Bachmann, Eric"
68495,CSE,287,  A,Foundations of Graphics,3,28,26,1000,1120,F,BEN,6,"Bachmann, Eric"
65108,CSE,320,  A,Professional Practice,0,3,0,,,,,,"Krumpe, Norman"
67956,CSE,322,  A,Software Requirements,3,28,28,1300,1420,TR,BEN,206,"Gannod, Gerald"
59427,CSE,372,  A,Stochastic Modeling,3,29,24,1230,1350,TR,BEN,9,"Patton, Jon"
59428,CSE,381,  A,Operating Systems,3,36,32,800,950,M,BEN,16,"Alomari, Hakam"
59428,CSE,381,  A,Operating Systems,3,36,32,800,950,W,BEN,100,"Alomari, Hakam"
59429,CSE,381,  B,Operating Systems,3,37,32,1000,1150,M,BEN,16,"Alomari, Hakam"
59429,CSE,381,  B,Operating Systems,3,37,32,1000,1150,W,BEN,207,"Alomari, Hakam"
